OMNeT++ Discrete Event Simulation  (C) 1992-2019 Andras Varga, OpenSim Ltd.
Version: 5.6.2, build: 200518-aa79d0918f, edition: Academic Public License -- NOT FOR COMMERCIAL USE
See the license for distribution terms and warranty disclaimer

Setting up Qtenv...

Loading NED files from ..:  6
Loading NED files from ../../src:  11
Loading NED files from ../../../inet/src:  831
Loading NED files from ../../../inet/examples:  174
Loading NED files from ../../../inet/tutorials:  10
Loading NED files from ../../../inet/showcases:  46
Loading NED files from ../../../../veins/examples/veins:  1
Loading NED files from ../../../../veins/src/veins:  44

Loading images from '/home/mathesh/omnetpp-workspace/inet/images': *: 0  3d/*: 0  background/*: 1  misc/*: 218  showcases/*: 9 
Loading images from '/home/mathesh/veins/images': *: 0  veins/*: 0  veins/node/*: 45  veins/sign/*: 5 
Loading images from '/home/mathesh/omnetpp-5.6.2/images': *: 0  abstract/*: 90  background/*: 4  block/*: 320  device/*: 195  logo/*: 1  maps/*: 9  misc/*: 70  msg/*: 55  old/*: 111  status/*: 28 

0.177440675115 Vehicle 0 SENDING HELLO #1 | acked {0} | pending ACK {1,2,3}
0.179642230819 Vehicle 1 SENDING HELLO #1 | acked {1} | pending ACK {0,2,3}
0.185759468249 Vehicle 2 SENDING HELLO #1 | acked {2} | pending ACK {0,1,3}
0.192213287205 Vehicle 3 SENDING HELLO #1 | acked {3} | pending ACK {0,1,2}
0.280454491967 Vehicle 0 SENDING HELLO #2 | acked {0} | pending ACK {1,2,3}
0.282366646706 Vehicle 1 SENDING HELLO #2 | acked {1} | pending ACK {0,2,3}
0.287877742233 Vehicle 2 SENDING HELLO #2 | acked {2} | pending ACK {0,1,3}
0.29544275778 Vehicle 3 SENDING HELLO #2 | acked {3} | pending ACK {0,1,2}
0.382642428017 Vehicle 0 SENDING HELLO #3 | acked {0} | pending ACK {1,2,3}
0.386825511715 Vehicle 1 SENDING HELLO #3 | acked {1} | pending ACK {0,2,3}
0.392696056053 Vehicle 2 SENDING HELLO #3 | acked {2} | pending ACK {0,1,3}
0.397359965387 Vehicle 3 SENDING HELLO #3 | acked {3} | pending ACK {0,1,2}
0.486601053184 Vehicle 0 SENDING HELLO #4 | acked {0} | pending ACK {1,2,3}
